GENE,"PATHWAY Z-SCORE
"
NSD2,"3.0133232544742348
"
EXOSC3,"3.0133232544742348
"
RIF1,"3.0133232544742348
"
MAD2L2,"3.0133232544742348
"
PYCARD,"0.9560775242963904
"
EIF2AK4,"0.9560775242963904
"
SKAP1,"0.9560775242963904
"
MIF,"1.4703889568408515
"
SIRT1,"1.4703889568408515
"
CD44,"0.9560775242963904
"
CD74,"1.4703889568408515
"
CRTAM,"1.9847003893853126
"
LAG3,"1.9847003893853126
"
SH2D1B1,"1.9847003893853126
"
VAV1,"1.9847003893853126
"
CADM1,"1.9847003893853126
"
RAET1B,"1.9847003893853126
"
STAT5B,"1.9847003893853126
"
STAT5A,"1.9847003893853126
"
SH2D1A,"1.9847003893853126
"
ULBP1,"1.9847003893853126
"
KLRB1C,"1.9847003893853126
"
IL18RAP,"1.9847003893853126
"
CD160,"2.241856105657543
"
IL21,"1.9847003893853126
"
AP1G1,"1.9847003893853126
"
SLAMF6,"1.9847003893853126
"
SH2D1B2,"1.9847003893853126
"
KLRK1,"1.9847003893853126
"
H60A,"1.9847003893853126
"
LAMP1,"1.9847003893853126
"
RASGRP1,"1.9847003893853126
"
CLNK,"1.9847003893853126
"
KLRE1,"1.9847003893853126
"
DDX58,"1.213233240568621
"
SPI1,"1.4703889568408515
"
CCL2,"0.9560775242963904
"
STX4A,"1.4703889568408515
"
TICAM1,"0.9560775242963904
"
KIT,"1.213233240568621
"
ITGB2,"1.4703889568408515
"
ITGAM,"1.4703889568408515
"
SCIMP,"0.6989218080241599
"
MAVS,"1.4703889568408515
"
POMC,"1.4703889568408515
"
F2RL1,"1.4703889568408515
"
CD177,"1.4703889568408515
"
STAP1,"1.4703889568408515
"
DDX1,"0.9560775242963904
"
TYROBP,"1.4703889568408515
"
LYPD10,"1.4703889568408515
"
LYPD11,"1.4703889568408515
"
DDX21,"0.9560775242963904
"
PTAFR,"1.4703889568408515
"
CXCL1,"1.4703889568408515
"
DHX36,"0.9560775242963904
"
RC3H1,"1.213233240568621
"
CCR7,"1.4703889568408515
"
JAK3,"1.213233240568621
"
C4BP,"1.727544673113082
"
IL1RL1,"0.6989218080241599
"
IL27,"0.6989218080241599
"
FCGR2B,"1.727544673113082
"
ZBTB7B,"0.9560775242963904
"
CR2,"1.727544673113082
"
HAVCR2,"1.727544673113082
"
BCL6,"1.4703889568408515
"
THOC1,"1.213233240568621
"
SOCS5,"1.4703889568408515
"
ZC3H12A,"1.213233240568621
"
PTPN6,"1.727544673113082
"
SUPT6,"1.213233240568621
"
IRF1,"1.4703889568408515
"
NDFIP1,"1.213233240568621
"
APLF,"1.213233240568621
"
ZP3R,"1.727544673113082
"
ANXA1,"1.4703889568408515
"
PARP3,"1.213233240568621
"
PKN1,"0.6989218080241599
"
IL4RA,"1.727544673113082
"
TNFSF18,"0.9560775242963904
"
MIR181B-2,"1.213233240568621
"
MIR181B-1,"1.213233240568621
"
MEF2C,"0.9560775242963904
"
TNFAIP3,"0.6989218080241599
"
FOXJ1,"1.4703889568408515
"
OTUD5,"0.4417660917519294
"
LOXL3,"0.6989218080241599
"
RC3H2,"1.213233240568621
"
CCL19,"1.4703889568408515
"
CR1L,"1.727544673113082
"
IL33,"1.4703889568408515
"
CD46,"1.9847003893853126
"
SUSD4,"1.727544673113082
"
CD55,"1.727544673113082
"
CD55B,"1.727544673113082
"
SLC15A4,"1.727544673113082
"
HLX,"1.4703889568408515
"
TAP1,"0.6989218080241599
"
CLEC2D,"0.6989218080241599
"
SERPINB3A,"0.6989218080241599
"
SERPINB9,"0.6989218080241599
"
LGALS9,"1.213233240568621
"
LEP,"0.9560775242963904
"
KLRB1B,"0.6989218080241599
"
GFER,"0.6989218080241599
"
PIK3R6,"0.9560775242963904
"
ARRB2,"0.6989218080241599
"
CLEC12B,"0.6989218080241599
"
CEACAM1,"1.213233240568621
"
IGF2,"0.9560775242963904
"
CD96,"0.6989218080241599
"
CRK,"0.6989218080241599
"
ADCY7,"0.18461037547969886
"
IRF7,"0.6989218080241599
"
SAMSN1,"0.18461037547969886
"
DUSP10,"0.6989218080241599
"
ALOX15,"0.18461037547969886
"
TRIM27,"0.18461037547969886
"
TNFRSF14,"0.9560775242963904
"
CD48,"0.18461037547969886
"
TLR3,"0.18461037547969886
"
FGR,"1.213233240568621
"
BLK,"1.213233240568621
"
BCR,"0.4417660917519294
"
MS4A2,"1.213233240568621
"
FES,"0.9560775242963904
"
GAB2,"1.213233240568621
"
CRHR1,"1.213233240568621
"
CXCL5,"0.4417660917519294
"
CD84,"0.9560775242963904
"
VAMP8,"1.213233240568621
"
UNC13D,"0.9560775242963904
"
STXBP2,"1.213233240568621
"
STXBP1,"1.213233240568621
"
CD300A,"1.213233240568621
"
D6WSU163E,"0.9560775242963904
"
ABR,"0.4417660917519294
"
RABGEF1,"1.213233240568621
"
LYN,"1.213233240568621
"
NPPC,"1.213233240568621
"
NPPA,"1.213233240568621
"
TLR4,"1.213233240568621
"
FOXF1,"0.9560775242963904
"
SNX4,"1.213233240568621
"
TLR2,"1.213233240568621
"
ADORA2B,"1.213233240568621
"
DNASE1,"0.18461037547969886
"
GATA2,"1.213233240568621
"
SYK,"1.213233240568621
"
PLA2G3,"1.213233240568621
"
IL13,"1.213233240568621
"
VAMP7,"1.213233240568621
"
CX3CR1,"0.4417660917519294
"
IL13RA2,"0.9560775242963904
"
PLD2,"1.213233240568621
"
SPHK2,"1.213233240568621
"
PRAM1,"0.9560775242963904
"
FER,"0.9560775242963904
"
RAC2,"0.9560775242963904
"
ADORA3,"1.213233240568621
"
TLR9,"1.213233240568621
"
PDPK1,"0.9560775242963904
"
DNASE1L3,"0.18461037547969886
"
HMOX1,"0.9560775242963904
"
SHB,"0.9560775242963904
"
CD244A,"0.4417660917519294
"
PHB2,"0.4417660917519294
"
FOXP1,"0.4417660917519294
"
WNT5A,"0.9560775242963904
"
PGC,"0.9560775242963904
"
RPS19,"0.9560775242963904
"
DDX60,"0.4417660917519294
"
XBP1,"0.9560775242963904
"
MZB1,"0.18461037547969886
"
LILRB4A,"0.6989218080241599
"
TEK,"0.18461037547969886
"
GPRC5B,"0.18461037547969886
"
CD86,"0.4417660917519294
"
IL17A,"0.9560775242963904
"
ENPP3,"0.6989218080241599
"
PTPN22,"0.9560775242963904
"
RTN4,"0.18461037547969886
"
CD36,"0.4417660917519294
"
APPL2,"0.9560775242963904
"
ANKRD17,"0.4417660917519294
"
DNAJB9,"0.18461037547969886
"
IL5,"0.4417660917519294
"
LBP,"0.9560775242963904
"
TRIM6,"0.9560775242963904
"
NR4A3,"0.9560775242963904
"
PLA2G5,"0.9560775242963904
"
FFAR2,"0.9560775242963904
"
RBP4,"0.18461037547969886
"
RARA,"0.9560775242963904
"
SPON2,"0.4417660917519294
"
MYO18A,"0.4417660917519294
"
SEMA7A,"0.18461037547969886
"
FFAR3,"0.4417660917519294
"
DHX58,"0.6989218080241599
"
GPI1,"0.18461037547969886
"
INAVA,"0.4417660917519294
"
EPHB2,"0.18461037547969886
"
CD37,"0.6989218080241599
"
CD27,"0.18461037547969886
"
C6,"0.9560775242963904
"
RAPGEF1,"0.9560775242963904
"
PTPRJ,"0.9560775242963904
"
TNFRSF4,"0.18461037547969886
"
IL10,"0.9560775242963904
"
KLK5,"0.9560775242963904
"
KLK7,"0.9560775242963904
"
MYB,"0.9560775242963904
"
LACC1,"0.4417660917519294
"
PCK1,"0.9560775242963904
"
LAPTM5,"0.9560775242963904
"
IL17F,"0.9560775242963904
"
RAP1A,"0.9560775242963904
"
HK1,"0.4417660917519294
"
PHB,"0.9560775242963904
"
ZFP683,"-0.07254534079253165
"
GRN,"0.6989218080241599
"
IRAK3,"0.4417660917519294
"
ZFP35,"0.18461037547969886
"
NEPN,"-0.32970105706476216
"
CD59A,"0.6989218080241599
"
APPL1,"0.6989218080241599
"
CUEDC2,"-0.32970105706476216
"
VPREB3,"-0.07254534079253165
"
TGFB3,"-0.32970105706476216
"
CFH,"0.6989218080241599
"
APOA2,"-0.32970105706476216
"
APOA1,"-0.32970105706476216
"
SLAMF8,"0.18461037547969886
"
TREX1,"0.6989218080241599
"
PRKDC,"0.6989218080241599
"
CD5L,"0.6989218080241599
"
VSIG4,"0.6989218080241599
"
PGLYRP1,"0.18461037547969886
"
SPINK5,"0.18461037547969886
"
CD47,"0.6989218080241599
"
INS2,"0.18461037547969886
"
CGAS,"0.6989218080241599
"
ATG5,"-0.32970105706476216
"
TRIL,"-0.07254534079253165
"
ZPBP2,"-0.32970105706476216
"
A2M,"0.6989218080241599
"
CD59B,"0.6989218080241599
"
TGFB2,"0.4417660917519294
"
SERPING1,"0.6989218080241599
"
PGLYRP2,"0.18461037547969886
"
PGLYRP3,"0.18461037547969886
"
FGL2,"0.18461037547969886
"
SIGLECG,"0.18461037547969886
"
TMBIM6,"-0.32970105706476216
"
CD40LG,"0.6989218080241599
"
CD22,"0.6989218080241599
"
PGLYRP4,"0.18461037547969886
"
IGHM,"0.6989218080241599
"
ANGPT1,"-0.32970105706476216
"
C1QBP,"0.6989218080241599
"
LGALS3,"0.6989218080241599
"
FCNA,"0.4417660917519294
"
SKINT9,"0.4417660917519294
"
SKINT3,"0.4417660917519294
"
IRF3,"0.4417660917519294
"
TLR8,"0.4417660917519294
"
TESPA1,"0.4417660917519294
"
EIF2B4,"0.4417660917519294
"
TRIM62,"0.4417660917519294
"
POLR3G,"0.4417660917519294
"
FYN,"0.4417660917519294
"
IFI202A,"0.4417660917519294
"
LAX1,"0.4417660917519294
"
IGHV12-3,"0.4417660917519294
"
CACNB4,"0.4417660917519294
"
RPS3,"0.4417660917519294
"
P01746,"0.4417660917519294
"
P01750,"0.4417660917519294
"
P01786,"0.4417660917519294
"
P01792,"0.4417660917519294
"
BTNL2,"0.4417660917519294
"
RELA,"0.4417660917519294
"
TASL,"0.4417660917519294
"
C1RB,"0.4417660917519294
"
IFNL3,"0.4417660917519294
"
IGHV5-15,"0.4417660917519294
"
IGHV6-3,"0.4417660917519294
"
IGHV2-3,"0.4417660917519294
"
IGHV5-9,"0.4417660917519294
"
IGHV1-47,"0.4417660917519294
"
IGHV5-2,"0.4417660917519294
"
IGHV2-2,"0.4417660917519294
"
MGI:3643263,"0.4417660917519294
"
IGHV9-1,"0.4417660917519294
"
IGHV14-1,"0.4417660917519294
"
PLCL2,"0.4417660917519294
"
TREM3,"0.4417660917519294
"
ELANE,"0.4417660917519294
"
PTPN2,"0.4417660917519294
"
IGHV1-64,"0.4417660917519294
"
IGHV7-3,"0.4417660917519294
"
IGHV14-4,"0.4417660917519294
"
IGHV7-4,"0.4417660917519294
"
IGHV1-80,"0.4417660917519294
"
IGHV1-76,"0.4417660917519294
"
IGHV8-13,"0.4417660917519294
"
TRBC1,"0.4417660917519294
"
IGHV1-56,"0.4417660917519294
"
STK11,"0.4417660917519294
"
SKINT7,"0.4417660917519294
"
TIRAP,"0.4417660917519294
"
LIME1,"0.4417660917519294
"
IGHV1-20,"0.4417660917519294
"
C5AR1,"0.4417660917519294
"
C4B,"0.4417660917519294
"
C2,"0.4417660917519294
"
C1QC,"0.4417660917519294
"
C1QB,"0.4417660917519294
"
C1QA,"0.4417660917519294
"
BRAF,"0.4417660917519294
"
BCL2,"0.4417660917519294
"
IGHV1-63,"0.4417660917519294
"
PSEN2,"0.4417660917519294
"
IGHG2C,"1.9847003893853126
"
IFI208,"0.4417660917519294
"
IGHV8-6,"0.4417660917519294
"
IGHG3,"1.9847003893853126
"
MATR3,"0.4417660917519294
"
USP12,"0.4417660917519294
"
EZR,"0.4417660917519294
"
BTN1A1,"0.4417660917519294
"
POLR3B,"0.4417660917519294
"
GBP5,"0.4417660917519294
"
CYBA,"0.4417660917519294
"
XRCC6,"0.4417660917519294
"
CACNB3,"0.4417660917519294
"
AKIRIN2,"0.4417660917519294
"
UBE2N,"0.4417660917519294
"
LSM14A,"0.4417660917519294
"
POLR3D,"0.4417660917519294
"
PAWR,"0.4417660917519294
"
KARS,"0.4417660917519294
"
EIF2B3,"0.4417660917519294
"
IGHV6-5,"0.4417660917519294
"
RNF31,"0.4417660917519294
"
IGHV8-5,"0.4417660917519294
"
GPLD1,"0.4417660917519294
"
SKINT6,"0.4417660917519294
"
MAPK1,"0.4417660917519294
"
IGHV1-43,"0.4417660917519294
"
IGHV1-42,"0.4417660917519294
"
IGHV1-7,"0.4417660917519294
"
IGHV1-5,"0.4417660917519294
"
SKINT2,"0.4417660917519294
"
SKINT1,"0.4417660917519294
"
SKINT4,"0.4417660917519294
"
THY1,"0.4417660917519294
"
POLR3F,"0.4417660917519294
"
IFI211,"0.4417660917519294
"
NLRC5,"0.4417660917519294
"
MASP1,"0.4417660917519294
"
IGHV8-12,"0.4417660917519294
"
P01793,"0.4417660917519294
"
TEC,"0.4417660917519294
"
NONO,"0.4417660917519294
"
TRDC,"0.4417660917519294
"
IGHV5-12-4,"0.4417660917519294
"
VAV3,"0.4417660917519294
"
C8A,"0.4417660917519294
"
PVRIG,"0.4417660917519294
"
IGHV8-4,"0.4417660917519294
"
TRAT1,"0.4417660917519294
"
DGKZ,"0.4417660917519294
"
BCL2A1D,"0.4417660917519294
"
FPR2,"0.4417660917519294
"
FPR-RS3,"0.4417660917519294
"
FPR-RS4,"0.4417660917519294
"
COCH,"0.4417660917519294
"
SLC39A10,"0.4417660917519294
"
EIF2B1,"0.4417660917519294
"
IGHV1-67,"0.4417660917519294
"
IFI35,"0.4417660917519294
"
GCSAM,"0.4417660917519294
"
TXK,"0.4417660917519294
"
CMKLR1,"0.4417660917519294
"
FYB,"0.4417660917519294
"
C4A,"0.4417660917519294
"
BMX,"0.4417660917519294
"
IL15,"0.4417660917519294
"
EIF2B5,"0.4417660917519294
"
KHDRBS1,"0.4417660917519294
"
PLSCR1,"0.4417660917519294
"
APCS,"0.4417660917519294
"
RIOK3,"0.4417660917519294
"
CRKL,"0.4417660917519294
"
IGLC3,"0.4417660917519294
"
IGHV1-82,"0.4417660917519294
"
IGHV1-37,"0.4417660917519294
"
IGHV1-36,"0.4417660917519294
"
IGHV1-81,"0.4417660917519294
"
IGHV1-72,"0.4417660917519294
"
IGHV10-1,"0.4417660917519294
"
IGHV1-4,"0.4417660917519294
"
IGHV14-2,"0.4417660917519294
"
IGHV3-3,"0.4417660917519294
"
IGH-VJ558,"0.4417660917519294
"
BAX,"0.4417660917519294
"
IGHV5-16,"0.4417660917519294
"
SLA2,"0.4417660917519294
"
IGHV4-1,"0.4417660917519294
"
IGHV11-1,"0.4417660917519294
"
IGHV2-9-1,"0.4417660917519294
"
IGHV2-6,"0.4417660917519294
"
IGHV2-5,"0.4417660917519294
"
IGHV5-12,"0.4417660917519294
"
P01790,"0.4417660917519294
"
P01791,"0.4417660917519294
"
ELF1,"0.4417660917519294
"
SIN3A,"0.4417660917519294
"
IGHV16-1,"0.4417660917519294
"
IGHV9-2,"0.4417660917519294
"
FCNB,"0.4417660917519294
"
HSP90AA1,"0.4417660917519294
"
HRAS,"0.4417660917519294
"
IGHV3-8,"0.4417660917519294
"
P03980,"0.4417660917519294
"
SH2B2,"0.4417660917519294
"
FPR-RS7,"0.4417660917519294
"
FPR-RS6,"0.4417660917519294
"
IGHV6-7,"0.4417660917519294
"
IGHV8-9,"0.4417660917519294
"
IGHV1-59,"0.4417660917519294
"
