Gene,Mutation CDF
2-Mar,0.7864848090783927
1110038B12Rik,0.32333382461890137
1700030A11Rik,0.7423261269646093
1700031A10Rik,0.3457614477485237
1700097N02Rik,0.46463903956603303
2300002M23Rik,0.4564866739651216
2310061I04Rik,0.392205700067496
2410017I17Rik,0.3307436322180043
2410137M14Rik,0.3307436322180043
4833413E03Rik,0.3533642264425757
4833427F10Rik,0.3533642264425757
4921501E09Rik,0.8858980195064106
4930539E08Rik,0.5055552997637276
4931413I07Rik,0.3382203653561903
A930015D03Rik,0.32333382461890137
Abcf1,0.3457614477485237
Abcg1,0.3533642264425757
Abhd16a,0.46463903956603303
Actl9,0.5137453325696992
Adamts10,0.9322157602036122
Ager,0.40807355145298707
Agpat1,0.3457614477485237
Aif1,0.392205700067496
Akap8,0.32333382461890137
Akap8l,0.3307436322180043
Angptl4,0.44835258379040765
Apom,0.36102597454444907
Atat1,0.36102597454444907
Atf6b,0.4321527256015544
Atp6v1g2,0.37651511907242724
B3galt4,0.7743387560479207
Bag6,0.3382203653561903
BC004004,0.9348645336416923
BC033916,0.5055552997637276
BC051142,0.7288908427095422
BC051226,0.5055552997637276
BC051537,0.7864848090783927
Brd2,0.8205591215490331
Brd4,0.538266904125979
Brpf3,0.47280627678975723
Btbd9,0.6493509641013738
Btnl1,0.5301045729548909
Btnl2,0.9512184757259706
Btnl4,1.0
Btnl5-ps,0.9999999999998973
Btnl6,0.9999999924864296
Btnl7-ps,0.9571374059819168
C2,0.37651511907242724
C4a,0.9399204124908657
C4b,0.836235994000696
C920025E04Rik,0.32333382461890137
Cbs,0.6644505340240783
Ccdc167,0.3457614477485237
Cchcr1,0.5137453325696992
Cd320,0.3457614477485237
Cdkn1a,0.9491062343366398
Cfb,0.32333382461890137
Clic1,0.36874389409229646
Cmtr1,0.40807355145298707
Col11a2,0.9999466096916964
Cpne5,0.44835258379040765
CR974439.1,0.40807355145298707
CR974439.2,0.3307436322180043
Cryaa,0.3457614477485237
Csnk2b,0.32333382461890137
Cyp21a1,0.8258864556969874
Cyp21a2-ps,0.7681220685424774
Cyp4f13,0.9552325274192425
Cyp4f14,0.8603257118172807
Cyp4f15,0.4402401498218237
Cyp4f16,0.3307436322180043
Cyp4f17,0.3457614477485237
Cyp4f39,0.32333382461890137
Cyp4f40,0.32333382461890137
Cyp4f41-ps,0.9532600629520593
Daxx,0.6866041452141599
Ddah2,0.3843367185726985
Ddr1,0.392205700067496
Ddx39b,0.36102597454444907
Dhx16,0.40807355145298707
Dnah8,0.48098496307208854
Dpcr1,0.3307436322180043
Dxo,0.3533642264425757
Egfl8,0.3533642264425757
Ephx3,0.48917166139007057
Esp18,0.36874389409229646
Esp23,0.3382203653561903
Esp24,0.3382203653561903
Esp31,0.42409363327682775
Esp34,0.4001190128282391
Esp36,0.32333382461890137
Fgd2,0.999991684389924
Fkbpl,0.3533642264425757
Flot1,0.40807355145298707
G6b,0.36874389409229646
Gabbr1,0.5301045729548909
Glo1,0.392205700067496
Glp1r,0.554539910851159
Gm10045,0.5301045729548909
Gm10074,0.36102597454444907
Gm10499,0.32333382461890137
Gm11127,0.3307436322180043
Gm11131,0.36102597454444907
Gm15318,0.3457614477485237
Gm15320,0.8898129617709314
Gm15321,0.3382203653561903
Gm15329,0.3457614477485237
Gm15331,0.99935343613
Gm15332,0.8648386255722886
Gm15821,0.8096008896739328
Gm16181,0.36102597454444907
Gm16191,0.392205700067496
Gm16194,0.9512184757259706
Gm16195,0.36102597454444907
Gm16279,0.36102597454444907
Gm16758,0.4001190128282391
Gm17115,0.6417099050645158
Gm17251,0.755407244616867
Gm17276,0.538266904125979
Gm17572,0.3843367185726985
Gm17657,0.3457614477485237
Gm17705,0.32333382461890137
Gm17782,0.3307436322180043
Gm18522,0.3533642264425757
Gm18604,0.32333382461890137
Gm18733,0.3457614477485237
Gm18734,0.3307436322180043
Gm18808,0.36102597454444907
Gm19412,0.5707215296796996
Gm19553,0.3307436322180043
Gm19684,0.32333382461890137
Gm19807,0.32333382461890137
Gm20391,0.42409363327682775
Gm20392,0.36874389409229646
Gm20409,0.32333382461890137
Gm20427,0.4321527256015544
Gm20429,0.36874389409229646
Gm20442,0.3533642264425757
Gm20443,0.37651511907242724
Gm20447,0.41606615950838
Gm20450,0.4402401498218237
Gm20451,0.3843367185726985
Gm20452,0.37651511907242724
Gm20453,0.3307436322180043
Gm20454,0.37651511907242724
Gm20460,0.3843367185726985
Gm20462,0.9294845490360836
Gm20463,0.32333382461890137
Gm20483,0.32333382461890137
Gm20493,0.6027047818008358
Gm20495,0.32333382461890137
Gm20496,0.8777731647724336
Gm20497,0.32333382461890137
Gm20506,0.9589762388484111
Gm20507,0.49736292459449494
Gm20508,0.3307436322180043
Gm20513,0.7489117508848748
Gm20523,0.32333382461890137
Gm20524,0.32333382461890137
Gm20525,0.4001190128282391
Gm20526,0.3382203653561903
Gm20530,0.3307436322180043
Gm20541,0.32333382461890137
Gm20542,0.3307436322180043
Gm20543,0.32333382461890137
Gm20546,0.36874389409229646
Gm20547,0.3307436322180043
Gm20549,0.37651511907242724
Gm21903,0.32333382461890137
Gm22327,0.42409363327682775
Gm22388,0.3307436322180043
Gm22453,0.36874389409229646
Gm22943,0.36874389409229646
Gm23111,0.5707215296796996
Gm23294,0.8818849948274439
Gm23421,0.3307436322180043
Gm23442,0.32333382461890137
Gm23887,0.32333382461890137
Gm24026,0.40807355145298707
Gm24389,0.36102597454444907
Gm24661,0.3533642264425757
Gm24970,0.32333382461890137
Gm25049,0.36102597454444907
Gm25104,0.3382203653561903
Gm25128,0.3307436322180043
Gm25447,0.36874389409229646
Gm25555,0.6866041452141599
Gm25667,0.4564866739651216
Gm25883,0.3843367185726985
Gm26549,0.392205700067496
Gm26858,0.32333382461890137
Gm26885,0.47280627678975723
Gm26940,0.5137453325696992
Gm27471,0.4564866739651216
Gm27599,0.5137453325696992
Gm27735,0.3382203653561903
Gm27740,0.7220445991657054
Gm28033,0.3457614477485237
Gm28043,0.3307436322180043
Gm28052,0.3533642264425757
Gm318,0.3382203653561903
Gm4134,0.3307436322180043
Gm4152,0.9933979041231021
Gm4246,0.36874389409229646
Gm4252,0.36874389409229646
Gm4256,0.36874389409229646
Gm4271,0.41606615950838
Gm4461,0.42409363327682775
Gm4830,0.3457614477485237
Gm4831,0.36874389409229646
Gm5227,0.3307436322180043
Gm5682,0.3307436322180043
Gm6034,0.3307436322180043
Gm6623,0.32333382461890137
Gm6633,0.36102597454444907
Gm6659,0.32333382461890137
Gm6726,0.32333382461890137
Gm7031,0.3307436322180043
Gm8741,0.3533642264425757
Gm8750,0.3533642264425757
Gm8752,0.3382203653561903
Gm8801,0.3457614477485237
Gm8815,0.3307436322180043
