,Gene,Z-Score
203,Bcl11b,-0.84401249
204,Bcl2,0.441766092
205,Bcl2a1a,-0.84401249
206,Bcl2a1d,0.441766092
207,Bcl2l1,-0.586856773
208,Bcl2l11,-0.84401249
209,Bcl3,-0.586856773
210,Bcl6,1.470388957
211,Bcl6b,-0.329701057
212,Bcr,0.441766092
213,Bdkrb1,-0.329701057
214,Bdkrb2,-0.586856773
215,Becn1,-0.586856773
216,Blk,1.213233241
217,Blm,-0.329701057
218,Blnk,0.441766092
219,Bloc1s3,-0.329701057
220,Bloc1s6,-0.329701057
221,Bmi1,-0.072545341
222,Bmncr,-0.84401249
223,Bmp4,-0.586856773
224,Bmp6,-0.586856773
225,Bmpr1a,-0.586856773
226,Bmx,0.441766092
227,Bnip3,-0.586856773
228,Bnip3l,-0.586856773
229,Bpgm,-0.84401249
230,Bpi,-0.329701057
231,Bpifa1,-0.586856773
232,Bpifa2,-0.586856773
233,Bpifa5,-0.586856773
234,Bpifb1,-0.586856773
235,Bpifb3,-0.586856773
236,Braf,0.441766092
237,Brca2,-0.84401249
238,Brd1,-0.586856773
239,Brd4,"0.028240438, -0.566396283, -0.976281976"
240,Brpf3,"-0.392676568, -0.563911882, 0.541182721"
241,Bsg,-0.84401249
242,Bst1,-0.329701057
243,Bst2,-0.586856773
244,Btbd9,"1.185762206, 0.297737533, -0.640796671"
245,Btk,3.013323254
246,Btla,-0.072545341
247,Btn1a1,0.441766092
248,Btn2a2,0.441766092
249,Btnl1,0.441766092
250,Btnl10,0.441766092
251,Btnl2,0.441766092
252,Btnl4,0.441766092
253,Btnl6,0.441766092
254,Btnl9,0.441766092
255,Bves,-0.84401249
256,C1qa,0.441766092
257,C1qb,0.441766092
258,C1qbp,0.698921808
259,C1qc,0.441766092
260,C1ra,0.441766092
261,C1rb,0.441766092
262,C1rl,0.441766092
263,C1s1,0.441766092
264,C1s2,0.441766092
265,C2,0.441766092
266,C3,3.013323254
267,C3ar1,0.441766092
268,C4a,0.441766092
269,C4b,0.441766092
270,C4bp,1.727544673
271,C5ar1,0.441766092
272,C5ar2,0.441766092
273,C6,0.956077524
274,C8a,0.441766092
275,C8b,0.441766092
276,C8g,0.441766092
277,C9,0.441766092
278,C920025E04Rik,-0.445291194
279,CBS,-0.140563556
280,CCDC167,3.059576156
281,CCHCR1,0.014515025
282,CDKN1A,-1.441039164
283,CMTR1,1.163597224
284,CPNE5,3.059576156
285,CRYAA,-0.288081318
286,Cacna1c,-0.84401249
287,Cacnb3,0.441766092
288,Cacnb4,0.441766092
289,Cactin,-0.072545341
290,Cadm1,1.984700389
291,Calcoco2,-0.586856773
292,Calcr,-0.84401249
293,Calr,-0.329701057
294,Camk1d,-0.329701057
295,Camk4,-0.586856773
296,Caml,-0.84401249
297,Camp,-0.586856773
298,Capg,-0.586856773
299,Capn1,-0.586856773
300,Car2,-0.329701057
301,Card11,0.441766092
302,Card9,1.470388957
303,Carmil2,0.441766092
304,Cartpt,-0.586856773
305,Casp1,-0.586856773
306,Casp3,-0.586856773
307,Casp4,-0.586856773
308,Casp8,0.184610375
309,Cav1,-0.329701057
310,Cbfa2t3,-0.84401249
311,Cbfb,-0.329701057
312,Cblb,0.441766092
313,Cbs,"0.817459825, -0.133940354, -0.262904288"
314,Ccdc134,-0.84401249
315,Ccdc167,-0.340061942
316,Ccdc88b,-0.072545341
317,Cchcr1,"-0.392676568, -0.505635782, -0.599952431"
318,Ccl1,-0.072545341
319,Ccl11,-0.586856773
320,Ccl12,-0.072545341
321,Ccl17,-0.586856773
322,Ccl19,1.470388957
323,Ccl2,0.956077524
324,Ccl20,-0.072545341
325,Ccl21a,-0.072545341
326,Ccl21b,-0.329701057
327,Ccl21c,-0.586856773
328,Ccl22,-0.586856773
329,Ccl24,-0.072545341
330,Ccl25,-0.329701057
331,Ccl26,-0.586856773
332,Ccl27a,-0.329701057
333,Ccl27b,-0.586856773
334,Ccl28,-0.329701057
