Gene,Mutation Z-Score
4930539E08Rik,-0.44529119410048024
Gm27599,-0.44529119410048024
Cpne5,-0.3400619424934962
Ppil1,4.079566624999832
BC004004,3.5534203669649123
Gm10045,0.5017720703623759
Pi16,0.5017720703623759
Mtch1,0.8174598251833279
Fgd2,9.551487708563
Pim1,0.028240438130947825
Gm26885,0.028240438130947825
Gm17657,-0.44529119410048024
Gm28052,-0.3926765682969882
Tmem217,-0.44529119410048024
Tbc1d22b,0.13346968973793183
Tbc1d22bos,-0.44529119410048024
Mir7667,1.2383768316112638
Tbc1d22bos,-0.02437418767254418
Gm28043,-0.44529119410048024
Rnf8,0.028240438130947825
Cmtr1,-0.28744731669000423
Ccdc167,-0.3400619424934962
Mdga1,-0.3926765682969882
Gm16758,-0.07698881347603619
Mdga1,0.028240438130947825
Gm22327,-0.02437418767254418
Zfand3,-0.2348326908865122
Btbd9,-0.3926765682969882
Gm25049,-0.28744731669000423
RP23-364A24.1,0.23869894134491584
Btbd9,1.185762205807772
Glo1,-0.2348326908865122
Dnah8,-0.2348326908865122
1700097N02Rik,-0.02437418767254418
Dnah8,-0.1296034392795282
Gm24661,-0.3926765682969882
Dnah8,-0.44529119410048024
Glp1r,0.5543866961658679
Umodl1,2.2906693476811038
Gm24026,-0.2348326908865122
Umodl1,-0.3926765682969882
Abcg1,-0.2348326908865122
Gm25447,-0.3926765682969882
Gm15318,-0.3926765682969882
Tff1,-0.1822180650830202
Tmprss3,-0.07698881347603619
Ubash3a,0.6070013219693599
Rsph1,0.18608431554142385
Slc37a1,-0.02437418767254418
Pde9a,2.816815605716024
Wdr4,-0.3926765682969882
Ndufv3,-0.3926765682969882
4833413E03Rik,-0.44529119410048024
Pknox1,-0.3926765682969882
Cbs,0.8174598251833279
U2af1,-0.3926765682969882
Cryaa,-0.28744731669000423
Sik1,0.028240438130947825
Gm17572,-0.02437418767254418
Hsf2bp,0.08085506393443984
Gm25883,-0.1822180650830202
Hsf2bp,-0.44529119410048024
Rrp1b,-0.2348326908865122
Hsf2bp,-0.44529119410048024
Rrp1b,1.027918328397296
Pdxk-ps,1.8697523412531678
Gm17276,0.7122305735763439
