Gene,Pathway Z-Score
Malt1,3.270478970746465
Smad7,1.4703889568408515
Tnfrsf1b,1.4703889568408515
Stx7,3.270478970746465
Tbx21,3.270478970746465
H2-M10.3,3.270478970746465
Muc4,1.4703889568408515
Il20rb,1.4703889568408515
Zp3,3.270478970746465
Sash3,3.270478970746465
Klrd1,2.756167538202004
H2-T3,3.270478970746465
H2-T23,3.270478970746465
H2-T22,3.270478970746465
H2-T10,3.270478970746465
Vsir,1.727544673113082
H2-Q9,3.270478970746465
H2-Q7,3.270478970746465
H2-Q6,3.270478970746465
H2-Q4,3.270478970746465
H2-Q2,3.270478970746465
H2-Q10,3.270478970746465
H2-Q1,3.270478970746465
H2-M3,3.270478970746465
H2-M2,3.270478970746465
H2-M1,3.270478970746465
H2-L,3.270478970746465
H2-K1,3.270478970746465
Gata3,3.270478970746465
P01896,3.270478970746465
Cd24a,3.270478970746465
Xcl1,3.270478970746465
Tnfsf4,3.270478970746465
Il1r1,3.270478970746465
Il1b,3.270478970746465
Il12b,3.270478970746465
Il12a,3.270478970746465
Dusp22,1.9847003893853126
Trpm4,1.4703889568408515
Mr1,3.270478970746465
Fadd,3.270478970746465
H2-M11,3.270478970746465
Cd81,3.270478970746465
Slamf1,3.270478970746465
Klrc1,1.4703889568408515
H2-M9,3.270478970746465
H2-M10.4,3.270478970746465
H2-M10.1,3.270478970746465
Foxp3,3.270478970746465
Nectin2,3.270478970746465
Ptprc,3.270478970746465
Clec4g,1.4703889568408515
Hmgb1,1.9847003893853126
Kcnh1,3.270478970746465
Gnao1,3.270478970746465
Kcnh3,3.270478970746465
Kcnh2,3.270478970746465
Csde1,3.270478970746465
Gtpbp2,3.270478970746465
Pelo,3.270478970746465
Cnot6,3.270478970746465
Drd4,3.270478970746465
Drd3,3.270478970746465
Drd2,3.270478970746465
Card9,1.4703889568408515
Gm11127,3.0133232544742348
H2-T24,3.0133232544742348
6030468B19Rik,3.0133232544742348
H2-Ab1,1.4703889568408515
Fcgr3,3.0133232544742348
H2-D1,3.0133232544742348
Slc22a13,3.0133232544742348
Clcf1,3.0133232544742348
Cd1d2,3.0133232544742348
Cd1d1,3.0133232544742348
Fcer2a,3.0133232544742348
C3,3.0133232544742348
Btk,3.0133232544742348
B2m,3.0133232544742348
Trp53bp1,3.0133232544742348
Atad5,3.0133232544742348
Hmces,3.0133232544742348
Fcer1a,3.0133232544742348
Fcer1g,3.0133232544742348
Fcgr1,3.0133232544742348
Trem2,3.0133232544742348
Azgp1,3.0133232544742348
Nfkbid,1.9847003893853126
Pla2g4a,1.4703889568408515
Mir326,1.9847003893853126
Nod2,3.0133232544742348
Gm8909,3.0133232544742348
Tgfb1,3.0133232544742348
Ccr2,2.4990118219297734
H2-M10.2,3.0133232544742348
Tap2,3.0133232544742348
Arid5a,3.0133232544742348
Pagr1a,3.0133232544742348
H2-M5,3.0133232544742348
Stat6,3.0133232544742348
Tnf,3.0133232544742348
Lta,3.0133232544742348
Kmt5c,3.0133232544742348
H2-Bl,3.0133232544742348
Hspd1,3.0133232544742348
Nlrp10,1.4703889568408515
Slc11a1,1.4703889568408515
Exosc6,3.0133232544742348
Il27ra,2.241856105657543
Ifng,3.0133232544742348
Cd226,3.0133232544742348
Il18,3.0133232544742348
Prkcz,3.0133232544742348
Kmt5b,3.0133232544742348
Il6,3.0133232544742348
Il4,3.0133232544742348
Shld2,3.0133232544742348
Rsad2,3.0133232544742348
Tnfrsf13c,1.4703889568408515
Dennd1b,3.0133232544742348
Gm7030,3.0133232544742348
Il23a,3.0133232544742348
Pms2,3.0133232544742348
Ada,1.4703889568408515
H2-M10.6,3.0133232544742348
Tnfsf13,3.0133232544742348
Pnp,3.0133232544742348
Hpx,3.0133232544742348
Nlrp3,3.0133232544742348
Prkcq,1.4703889568408515
Mlh1,3.0133232544742348
H2-M10.5,3.0133232544742348
Cd274,1.4703889568408515
Fzd5,3.0133232544742348
Traf2,3.0133232544742348
Msh2,3.0133232544742348
Il23r,1.4703889568408515
Zbtb1,3.0133232544742348
Traf6,3.0133232544742348
Hspa8,3.0133232544742348
Il18r1,3.0133232544742348
Ripk2,1.9847003893853126
P2rx7,3.0133232544742348
Clec4n,1.4703889568408515
Shld1,3.0133232544742348
Cyrib,3.0133232544742348
H2-Q8,3.0133232544742348
Malt1,3.0133232544742348
Stx7,3.0133232544742348
Mir301,1.727544673113082
Tbx21,3.0133232544742348
Shld3,3.0133232544742348
H2-M10.3,3.0133232544742348
Zp3,3.0133232544742348
Sash3,3.0133232544742348
Nfkbiz,1.9847003893853126
H2-T3,3.0133232544742348
H2-T23,3.0133232544742348
H2-T22,3.0133232544742348
H2-T10,3.0133232544742348
H2-Q9,3.0133232544742348
H2-Q7,3.0133232544742348
H2-Q6,3.0133232544742348
H2-Q4,3.0133232544742348
H2-Q2,3.0133232544742348
H2-Q10,3.0133232544742348
H2-Q1,3.0133232544742348
H2-DMa,1.4703889568408515
